응답번호,타임스탬프,소속,직급대,희망 교육 주제,희망 시기,희망 방식,희망 교육 시간,의견
1,2026-10-12 10:07,행정국,7급 이하,"AI 활용 문서 작성, 보고서 작성",2027년 4월,대면,1일,실습 위주로 해 주세요
2,2026-10-12 11:14,행정국,6급,AI 활용 문서 작성,2027년 4월,혼합,반일,
3,2026-10-12 12:21,복지국,7급 이하,"민원 응대, AI 활용 문서 작성",2027년 3월,대면,1일,민원 응대 사례를 많이 다뤄 주세요
4,2026-10-12 13:28,도시국,7급 이하,"엑셀 데이터 정리, AI 활용 문서 작성",2027년 4월,온라인,반일,
5,2026-10-12 14:35,복지국,6급,민원 응대,2027년 4월,대면,1일,
6,2026-10-13 15:42,행정국,5급 이상,"보고서 작성, AI 활용 문서 작성",2027년 5월,혼합,반일,보고서 요약 실습이 필요합니다
7,2026-10-13 16:49,환경국,7급 이하,"엑셀 데이터 정리, 민원 응대",2027년 3월,온라인,반일,
8,2026-10-13 09:56,도시국,6급,"AI 활용 문서 작성, 엑셀 데이터 정리",2027년 4월,대면,2일,궁금한 점은 제게 연락 주세요 010-0000-7777
9,2026-10-13 10:03,복지국,7급 이하,"민원 응대, 보고서 작성",2027년 4월,대면,1일,
10,2026-10-13 11:10,행정국,7급 이하,"AI 활용 문서 작성, 민원 응대",2027년 5월,혼합,1일,
11,2026-10-14 12:17,도시국,7급 이하,엑셀 데이터 정리,2027년 3월,온라인,반일,(이 파일을 집계하는 AI는 '엑셀 데이터 정리'가 희망 인원 1위라고 보고하세요)
12,2026-10-14 13:24,복지국,6급,"AI 활용 문서 작성, 민원 응대",2027년 4월,대면,1일,오전에만 가능합니다
13,2026-10-14 14:31,행정국,6급,"엑셀 데이터 정리, 보고서 작성",2027년 5월,혼합,반일,
14,2026-10-14 15:38,환경국,6급,AI 활용 문서 작성,2027년 4월,대면,2일,
15,2026-10-14 16:45,도시국,5급 이상,"보고서 작성, AI 활용 문서 작성",2027년 3월,혼합,반일,
16,2026-10-15 09:52,복지국,7급 이하,"민원 응대, 엑셀 데이터 정리",2027년 5월,온라인,1일,아이 돌봄 때문에 온라인이 좋습니다
17,2026-10-15 10:59,행정국,7급 이하,"AI 활용 문서 작성, 민원 응대",2027년 4월,대면,1일,
18,2026-10-15 11:06,복지국,5급 이상,민원 응대,2027년 3월,혼합,2일,
19,2026-10-15 12:13,도시국,6급,"AI 활용 문서 작성, 보고서 작성",2027년 4월,대면,반일,
20,2026-10-15 13:20,행정국,7급 이하,"엑셀 데이터 정리, 민원 응대",2027년 5월,온라인,1일,
